Osnovni kazalniki demografije podjetij po: KOHEZIJSKA IN STATISTIÈNA;;;;;;;;;;;
REGIJA, KAZALNIK , LETO (t);;;;;;;;;;;
;;;;;;;;;;;
 ;V11920 Število novonastalih podjetij; ; ; ; ; ; ; ; ; ; 
 ;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Pomurska;461;456;595;589;619;555;490;703;605;583;533
Podravska;1632;1865;2326;2475;2293;2310;2229;2784;2279;2398;2367
Koroška;310;357;416;412;425;392;382;528;413;391;406
Savinjska;1243;1272;1677;1744;1650;1651;1809;2391;1945;1840;1936
Zasavska;157;150;210;251;215;212;218;284;250;326;308
Posavska;282;269;373;377;385;405;368;587;479;474;471
Jugovzhodna Slovenija;478;522;680;711;662;687;686;1053;824;784;807
Primorsko-notranjska;235;258;360;293;260;332;332;474;416;388;352
Osrednjeslovenska;3995;4410;5433;5495;5055;5162;5275;6980;6485;6636;6762
Gorenjska;1184;1341;1664;1710;1702;1509;1509;2357;1890;1816;1847
Goriška;656;762;907;920;864;858;841;1280;1063;1070;1071
Obalno-kraška;914;1099;1280;1251;1195;1257;1256;1984;1730;1835;1771
;;;;;;;;;;;
Vir: Statistièni urad Republike Slovenije. ;;;;;;;;;;;
 ;;;;;;;;;;;
Podatki za podjetja, ki so prenehala poslovati in so brez naslednika ;;;;;;;;;;;
v 2016 so zaèasni. Konèni podatki bodo objavljeni v juniju 2019. ;;;;;;;;;;;
Podrobnejša pojasnila o revidiranju podatkov so objavljena v (seznam ;;;;;;;;;;;
HREF=http://www.stat.si/dokument/5296/RevidiranjeStatisticnihPodatkov-;;;;;;;;;;;
MPsplosna.pdf target=_blank) Metodoloških pojasnilih o revidiranju ;;;;;;;;;;;
statistiènih podatkov. ;;;;;;;;;;;
 ;;;;;;;;;;;
PODJETJE je registrirana pravna ali fizièna oseba, ki je med letom ;;;;;;;;;;;
 ;;;;;;;;;;;
PODJETJE, KI JE PRENEHALO POSLOVATI IN JE BREZ NASLEDNIKA je ;;;;;;;;;;;
podjetje, ki je kot kombinacija proizvodnih dejavnikov razpadlo, ;;;;;;;;;;;
vendar tako, da pri tem dogodku ni bilo udeleženo nobeno drugo ;;;;;;;;;;;
podjetje. Med podjetja, ki so prenehala poslovati, ne štejemo ;;;;;;;;;;;
podjetij, ki so prenehala obstajati zaradi spojitev, pripojitev ali z ;;;;;;;;;;;
razdelitvijo podjetij, podjetij, ki so nastala zaradi spremembe ;;;;;;;;;;;
pravnoorganizacijske oblike, in tistih, ki so v dveh letih po letu ;;;;;;;;;;;
opazovanja znova oživela (reaktivacije). ;;;;;;;;;;;
 ;;;;;;;;;;;
PREŽIVELO PODJETJE je novonastalo podjetje, ki je poslovalo v ;;;;;;;;;;;
naslednjih najveè petih letih od nastanka. Podjetje štejemo za ;;;;;;;;;;;
preživelo tudi, èe je pravna enota prenehala poslovati in je ;;;;;;;;;;;
dejavnost prevzela nova pravna enota, ki je bila ustanovljena za ;;;;;;;;;;;
prevzem proizvodnih dejavnikov podjetja. ;;;;;;;;;;;
 ;;;;;;;;;;;
Podatki o novonastalih podjetjih brez predhodnika, podjetjih, ki so ;;;;;;;;;;;
prenehala poslovati in podatki o preživelih podjetjih za èasovno ;;;;;;;;;;;
vrsto od 2004 do 2007, ki so bili izvorno objavljeni na osnovi ;;;;;;;;;;;
Standardne klasifikacije dejavnosti 2002 (SKD 2002), so bili ;;;;;;;;;;;
preraèunani še po doloèilih nove razlièice Standardne klasifikacije ;;;;;;;;;;;
dejavnosti SKD 2008, in sicer s pomoèjo prevajalnih matrik. Osnova za ;;;;;;;;;;;
izdelavo prevajalnih matrik je bilo število podjetij (vir: ;;;;;;;;;;;
Statistièni poslovni register), ki se po SKD 2008 ne uvršèajo v isto ;;;;;;;;;;;
dejavnost, kot so se po SKD 2002, ampak v neko novo dejavnost. ;;;;;;;;;;;
;;;;;;;;;;;
Povezane vsebine: ;;;;;;;;;;;
- (seznam HREF= ;;;;;;;;;;;
http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatoteke=8234;;;;;;;;;;;
target=_blank) Metodološka pojasnila;;;;;;;;;;;
;;;;;;;;;;;
Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih ;;;;;;;;;;;
teritorialnih enot v Evropski uniji (The Classification  of ;;;;;;;;;;;
Territorial Units for Statistics) NUTS ((seznam ;;;;;;;;;;;
HREF=../database/Meta/Klas/NUTS.htm TARGET=_blank) opis in ;;;;;;;;;;;
pojasnila), raven NUTS 3. Opombe o spremembah posameznih regij so ;;;;;;;;;;;
zapisane k vsaki spremenjeni regiji in so ob izpisu tabele na zaslon ;;;;;;;;;;;
dostopne s klikom na ikono za opombe (zvezdica). V opombah je na ;;;;;;;;;;;
zaèetku naveden datum, s katerim je opisana teritorialna sprememba ;;;;;;;;;;;
upoštevana pri teritorialnem razvršèanju enot za statistiène namene. ;;;;;;;;;;;
Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih ;;;;;;;;;;;
teritorialnih enot v Evropski uniji (The Classification of ;;;;;;;;;;;
Territorial Units for Statistics) NUTS ((seznam ;;;;;;;;;;;
HREF=../database/Meta/Klas/NUTS.htm TARGET=_blank) opis in ;;;;;;;;;;;
pojasnila), raven NUTS 2.;;;;;;;;;;;
